"Clé","Type de ticket","Parent","Résumé","État","Responsable","Sprint","Start date","Date de début supposée","Date d'échéance","Date d'échéance supposée","Issue color"
"IN-62","Story","IN-15","[BACKOFFICE] As an ADMIN, I can delete a MINTER's account","Terminé(e)","Jimmy Martin","SPRINT 3","","","","","purple"
"IN-63","Story","IN-15","[BACKOFFICE] As an ADMIN, I can disable a MINTER's account","À faire","Jimmy Martin","SPRINT 3","","","","","purple"
"IN-60","Story","IN-15","[BACKOFFICE] As an ADMIN, I can see a dashboard with different analytics","En cours","Adam Mehdaoui","SPRINT 3","","","","","purple"
"IN-61","Story","IN-15","[BACKOFFICE] As an ADMIN, I can delete a comment","Terminé(e)","Adam Mehdaoui","SPRINT 1","","","","","purple"
"IN-57","Story","IN-15","[BACKOFFICE] As an ADMIN, I can delete a TEA BAG","À faire","","","","","","","purple"
"IN-58","Story","IN-15","[BACKOFFICE] As an ADMIN, I can delete an NFT","À faire","","","","","","","purple"
"IN-10","Epic","","Search","À faire","","","2024/04/18","2024/04/18","2024/05/31","2024/05/31","purple"
"IN-97","Story","IN-10","As a MINTER, I can access to all NFTs related to an hashtag from the NFT page","Terminé(e)","Jimmy Martin","SPRINT 2","","","","","purple"
"IN-28","Story","IN-10","As a MINTER, I can search users and TEA BAGS","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-27","Story","IN-10","As a MINTER, I can search NFTs","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-84","Story","IN-10","As a MINTER, I can search NFTs and users or tea bags","Terminé(e)","Jimmy Martin","SPRINT 1","","","","","purple"
"IN-11","Epic","","Notifications","À faire","","","2024/06/26","2024/06/26","","","purple"
"IN-49","Story","IN-11","As a MINTER, I can disable notification by type","Terminé(e)","Adam Mehdaoui","SPRINT 3","","","","","purple"
"IN-48","Story","IN-11","As a MINTER, I can see the list of all my notifications","À faire","","","","","","","purple"
"IN-50","Story","IN-11","As a MINTER, I can ignore all comments related to a specific NFT from the notification list","À faire","","","","","","","purple"
"IN-12","Epic","","Cryptocurrency Integration","À faire","","","2024/06/26","2024/06/26","","","purple"
"IN-51","Story","IN-12","As a MINTER, I can add cryptocurrencies to my wallet","À faire","","","","","","","purple"
"IN-52","Story","IN-12","As a MINTER, I can buy and sell NFTs using my cryptocurrency wallet","À faire","","","","","","","purple"
"IN-14","Epic","","NFT Trading and Marketplace","À faire","","","2024/06/26","2024/06/26","","","purple"
"IN-56","Story","IN-14","As a MINTER, I can mint my uploaded digital content (a draft) into an NFT","À faire","Jimmy Martin","SPRINT 3","","","","","purple"
"IN-53","Story","IN-14","As a MINTER, I can trade NFTs with other users, when I find a MINTER interested in trading their NFT","À faire","","","","","","","purple"
"IN-54","Story","IN-14","As a MINTER, I can buy NFTs from other users, when I find an NFT I like in the marketplace","À faire","","","","","","","purple"
"IN-55","Story","IN-14","As a MINTER, I can sell my NFTs in the marketplace","À faire","","","","","","","purple"
